Facility Id,FRS Id,Facility Name,City,State,Zip Code,Address,County,Latitude,Longitude,Primary NAICS Code,Industry Type (subparts),Industry Type (sectors),Total reported direct emissions,CO2 emissions (non-biogenic) ,Methane (CH4) emissions ,Nitrous Oxide (N2O) emissions ,HFC emissions,PFC emissions,SF6 emissions ,NF3 emissions,Other Fully Fluorinated GHG emissions,HFE emissions,Very Short-lived Compounds emissions,Other GHGs (metric tons CO2e),Biogenic CO2 emissions (metric tons),Stationary Combustion,Electricity Generation,Adipic Acid Production,Aluminum Production,Ammonia Manufacturing,Cement Production,Electronics Manufacture,Ferroalloy Production,Fluorinated GHG Production,Glass Production,HCFCÐ22 Production from HFCÐ23 Destruction,Hydrogen Production,Iron and Steel Production,Lead Production,Lime Production,Magnesium Production,Miscellaneous Use of Carbonates,Nitric Acid Production,Petroleum and Natural Gas Systems Ð Offshore Production,Petroleum and Natural Gas Systems Ð Processing,Petroleum and Natural Gas Systems Ð Transmission/Compression,Petroleum and Natural Gas Systems Ð Underground Storage,Petroleum and Natural Gas Systems Ð LNG Storage,Petroleum and Natural Gas Systems Ð LNG Import/Export,Petrochemical Production,Petroleum Refining,Phosphoric Acid Production,Pulp and Paper Manufacturing,Silicon Carbide Production,Soda Ash Manufacturing,Titanium Dioxide Production,Underground Coal Mines,Zinc Production,Municipal Landfills,Industrial Wastewater Treatment,Manufacture of Electric Transmission and Distribution Equipment,Industrial Waste Landfills,Is some CO2 collected on-site and used to manufacture other products and therefore not emitted from the affected manufacturing process unit(s)? (as reported under Subpart G or S),"Is some CO2 reported as emissions from the affected manufacturing process unit(s) under Subpart AA, G or P collected and transferred off-site or injected (as reported under Subpart PP)?",Does the facility employ continuous emissions monitoring? ,
1000999,110028287725,Navajo Generating Station,PAGE,AZ,86040,,Coconino,36.90,-111.39,221112,"C,D",Power Plants,"16,935,827.12","16,800,132.80","49,635.50","86,058.82",,,,,,,,,,403.99,"16,935,423.13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,
1001030,110000592813,Gibson,OWENSVILLE,IN,47665,1097 N 950 W,Gibson,38.37,-87.77,221112,"C,D",Power Plants,"16,904,926.77","16,769,478.30","49,545.50","85,902.97",,,,,,,,,,0.00,"16,904,926.77",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,
1001194,110043788327,Gen J M Gavin,CHESHIRE,OH,45620,OHIO ROUTE 7,Gallia,38.9347,-82.1158,221112,"C,D",Power Plants,"16,877,218.26","16,744,942.00","48,383.00","83,893.26",,,,,,,,,,"8,035.67","16,869,182.59",,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,
1001037,110000747924,Rockport,ROCKPORT,IN,47635,2791 NORTH US ROUTE 231,Spencer,37.9256,-87.0372,221112,"C,D",Power Plants,"16,670,344.00","16,539,699.30","47,785.50","82,859.20",,,,,,,,,,"10,504.92","16,659,839.08",,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,
1001194,110043788327,Gen J M Gavin,CHESHIRE,OH,45620,OHIO ROUTE 7,Gallia,38.93,-82.12,221112,"C,D",Power Plants,"16,638,658.00","16,508,246.90","47,701.50","82,709.60",,,,,,,,,,"6,371.20","16,632,286.80",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,
1006868,110000608254,W A Parish,THOMPSONS,TX,77469,YU JONES RD,Fort Bend,29.4783,-95.6358,221112,"C,D",Power Plants,"16,587,455.04","16,459,497.10","46,837.58","81,120.37",,,,,,,,,,"17,211.64","16,570,243.41",,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,
1006909,110056969721,Bruce Mansfield,SHIPPINGPORT,PA,15077,128 FERRY HILL ROAD,Beaver,40.6344,-80.42,221112,"C,D",Power Plants,"16,324,273.91","16,236,752.80","4,366.00","83,155.11",,,,,,,,,,"6,793.19","16,317,480.72",,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,
1006909,110056969721,Bruce Mansfield,SHIPPINGPORT,PA,15077,128 FERRY HILL ROAD,Beaver,40.63,-80.42,221112,"C,D",Power Plants,"16,275,952.37","16,188,685.90","4,351.25","82,915.22",,,,,,,,,,"4,540.43","16,271,411.94",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,
1006909,110056969721,Bruce Mansfield,SHIPPINGPORT,PA,15077,128 FERRY HILL ROAD,Beaver,40.63,-80.42,221112,"C,D",Power Plants,"16,268,802.24","16,181,570.70","4,348.50","82,883.04",,,,,,,,,,"3,139.05","16,265,663.19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,
1000999,110028287725,Navajo Generating Station,PAGE,AZ,86040,,Coconino,36.90,-111.39,221112,"C,D",Power Plants,"16,295,829.59","16,165,262.20","47,759.75","82,807.64",,,,,,,,,,164.40,"16,295,665.20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,
1001030,110000592813,Gibson,OWENSVILLE,IN,47665,1097 N 950 W,Gibson,38.37,-87.77,221112,D,Power Plants,"16,294,738.63","16,164,178.80","47,757.25","82,802.58",,,,,,,,,,,"16,294,738.63",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,
1000999,110028287725,Navajo Generating Station,PAGE,AZ,86040,,Coconino,36.9047,-111.3886,221112,"C,D",Power Plants,"16,280,061.43","16,149,633.20","47,708.50","82,719.73",,,,,,,,,,"3,055.90","16,277,005.53",,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,
1006909,110056969721,Bruce Mansfield,SHIPPINGPORT,PA,15077,128 FERRY HILL ROAD,Beaver,40.63,-80.42,221112,"C,D",Power Plants,"16,158,662.18","16,072,921.80","4,278.50","81,461.88",,,,,,,,,,"8,126.02","16,150,536.16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,
1007504,110043787220,Martin Lake,Tatum,TX,75691,8850 FM 2658 North,Rusk,32.26,-94.57,221112,"C,D",Power Plants,"16,128,664.36","16,047,142.80","4,066.00","77,455.56",,,,,,,,,,"5,477.61","16,123,186.75",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,
1006868,110000608254,W A Parish,THOMPSONS,TX,77469,YU JONES RD,Fort Bend,29.48,-95.64,221112,"C,D",Power Plants,"16,130,245.68","16,006,078.10","45,448.50","78,719.08",,,,,,,,,,"2,398.09","16,127,847.59",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,
1001020,110041982520,Colstrip,COLSTRIP,MT,59323,1 WAREHOUSE ROAD,Rosebud,45.88,-106.61,221112,D,Power Plants,"15,972,992.92","15,854,040.50","43,509.25","75,443.17",,,,,,,,,,,"15,972,992.92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,
1001030,110000592813,Gibson,OWENSVILLE,IN,47665,1097 N 950 W,Gibson,38.37,-87.77,221112,D,Power Plants,"15,974,110.88","15,846,229.70","46,777.50","81,103.68",,,,,,,,,,,"15,974,110.88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,
1000676,110000405927,Monroe,MONROE,MI,48161,3500 FRONT ST,Monroe,41.89,-83.35,221112,"C,D",Power Plants,"15,940,342.47","15,812,163.10","46,880.50","81,298.87",,,,,,,,,,"7,956.82","15,932,385.65",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,
1001030,110000592813,Gibson,OWENSVILLE,IN,47665,1097 N 950 W,Gibson,38.37,-87.77,221112,"C,D",Power Plants,"15,827,197.78","15,700,385.80","46,386.25","80,425.73",,,,,,,,,,314.24,"15,826,883.54",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,
1001037,110000747924,Rockport,ROCKPORT,IN,47635,2791 NORTH US ROUTE 231,Spencer,37.93,-87.04,221112,"C,D",Power Plants,"15,803,502.72","15,679,690.50","45,284.75","78,527.47",,,,,,,,,,"18,073.26","15,785,429.46",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,
1006868,110000608254,W A Parish,THOMPSONS,TX,77469,YU JONES RD,Fort Bend,29.48,-95.64,221112,"C,D",Power Plants,"15,796,418.02","15,674,528.30","44,614.15","77,275.57",,,,,,,,,,"5,597.63","15,790,820.39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,
1006909,110056969721,Bruce Mansfield,SHIPPINGPORT,PA,15077,128 FERRY HILL ROAD,Beaver,40.63,-80.42,221112,"C,D",Power Plants,"15,638,880.34","15,557,345.40","4,067.75","77,467.19",,,,,,,,,,"6,745.44","15,632,134.90",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,
